Date,Hamina,St.Ghislain,Potsdam,Portland,Boston
2014-07-07 00:00:00,26.32,27.37,26.16,35.03,37.9
2014-07-07 01:00:00,26.06,27.37,26.32,34.95,37.86
2014-07-07 02:00:00,28.09,26.06,26.06,28.33,30.92
2014-07-07 03:00:00,41.39,28.09,28.09,28.32,30.87
2014-07-07 04:00:00,47.45,35.73,35.73,24.21,26.41
2014-07-07 05:00:00,45.63,39.87,39.87,19.55,21.31
2014-07-07 06:00:00,45.92,40.12,40.12,16.81,18.18
2014-07-07 07:00:00,47.42,39.88,39.88,15.93,17.04
2014-07-07 08:00:00,47.05,40.23,40.23,16.81,18.11
2014-07-07 09:00:00,47.08,41.17,41.17,20.7,22.42
2014-07-07 10:00:00,44.98,41.01,41.01,29.98,32.46
2014-07-07 11:00:00,44.14,39.92,39.92,34.78,37.99
2014-07-07 12:00:00,42.98,39.07,39.07,38.31,41.68
2014-07-07 13:00:00,43.63,38.1,38.1,38.5,43.4
2014-07-07 14:00:00,41.69,39.03,39.03,43.7,49.56
2014-07-07 15:00:00,41.66,41.0,41.0,50.11,57.03
2014-07-07 16:00:00,42.27,42.36,42.36,53.57,61.06
2014-07-07 17:00:00,40.21,43.19,43.19,53.53,60.96
2014-07-07 18:00:00,41.5,42.01,42.01,58.23,66.81
2014-07-07 19:00:00,40.23,39.05,39.05,59.63,68.55
2014-07-07 20:00:00,31.24,38.87,38.87,61.13,70.33
2014-07-07 21:00:00,30.31,32.0,32.0,58.95,67.74
2014-07-07 22:00:00,28.64,30.31,30.31,49.62,56.38
2014-07-07 23:00:00,27.37,29.74,29.35,45.89,52.02
2014-07-08 00:00:00,26.95,28.04,28.04,46.18,52.27
2014-07-08 01:00:00,26.79,27.07,27.07,41.0,46.56
2014-07-08 02:00:00,33.52,27.08,27.08,35.74,41.14
2014-07-08 03:00:00,44.26,28.0,28.0,34.78,37.93
2014-07-08 04:00:00,46.4,33.33,33.33,34.62,37.89
2014-07-08 05:00:00,46.41,43.47,43.47,32.03,35.02
2014-07-08 06:00:00,50.11,46.41,46.41,31.83,34.72
2014-07-08 07:00:00,49.58,46.5,46.5,30.38,32.91
2014-07-08 08:00:00,49.81,48.69,48.69,30.97,33.87
2014-07-08 09:00:00,48.08,48.58,48.58,32.15,35.05
2014-07-08 10:00:00,47.25,45.38,45.38,35.0,38.15
2014-07-08 11:00:00,45.18,43.72,43.72,39.6,42.46
2014-07-08 12:00:00,45.21,41.62,41.62,40.64,43.12
2014-07-08 13:00:00,45.59,39.94,39.94,49.01,53.42
2014-07-08 14:00:00,44.9,39.06,39.06,44.93,48.47
2014-07-08 15:00:00,45.85,37.79,37.79,57.63,63.53
2014-07-08 16:00:00,45.21,36.69,36.69,65.16,72.36
2014-07-08 17:00:00,41.03,35.66,35.66,70.69,78.78
2014-07-08 18:00:00,42.47,33.29,33.29,70.29,78.22
2014-07-08 19:00:00,40.26,32.0,32.0,70.92,78.94
2014-07-08 20:00:00,31.3,31.47,31.47,71.28,79.35
2014-07-08 21:00:00,26.58,30.01,28.11,69.74,77.77
2014-07-08 22:00:00,25.58,27.23,27.23,58.25,64.08
2014-07-08 23:00:00,23.79,25.9,25.9,53.55,59.08
2014-07-09 00:00:00,22.59,23.79,23.79,54.8,60.57
2014-07-09 01:00:00,23.43,22.59,22.59,44.91,48.77
2014-07-09 02:00:00,27.08,23.43,23.43,37.3,40.99
2014-07-09 03:00:00,41.14,26.13,26.13,34.38,36.98
2014-07-09 04:00:00,46.18,29.81,29.81,30.58,34.69
2014-07-09 05:00:00,44.44,37.74,37.74,28.0,31.57
2014-07-09 06:00:00,47.52,42.2,42.2,25.09,27.42
2014-07-09 07:00:00,48.16,42.92,42.92,23.0,24.74
2014-07-09 08:00:00,48.11,43.19,43.19,23.44,25.27
2014-07-09 09:00:00,47.1,45.25,45.25,27.87,30.24
2014-07-09 10:00:00,45.41,41.72,41.72,31.7,34.72
2014-07-09 11:00:00,43.66,42.91,42.91,32.8,35.46
2014-07-09 12:00:00,43.14,39.88,39.88,37.69,41.24
2014-07-09 13:00:00,42.03,37.9,37.9,42.42,46.27
2014-07-09 14:00:00,41.86,34.55,34.55,47.91,53.36
2014-07-09 15:00:00,43.26,37.68,37.68,49.81,55.35
